Price,Room.Type,City,Bed(s),Property.Form,Avg
144,Private room,nyc,2,hotel,239.77
305,Private room,nyc,2,hotel,239.77
135,Private room,nyc,2,hotel,239.77
173,Private room,nyc,2,hotel,239.77
167,Private room,nyc,2,hotel,239.77
132,Private room,nyc,2,hotel,239.77
189,Private room,nyc,2,hotel,239.77
199,Private room,nyc,2,hotel,239.77
191,Private room,nyc,2,hotel,239.77
179,Private room,nyc,2,hotel,239.77
269,Private room,nyc,2,hotel,239.77
333,Private room,nyc,2,hotel,239.77
188,Private room,nyc,2,hotel,239.77
249,Private room,nyc,2,hotel,239.77
269,Private room,nyc,2,hotel,239.77
206,Private room,nyc,2,hotel,239.77
236,Private room,nyc,2,hotel,239.77
390,Private room,nyc,2,hotel,239.77
207,Private room,nyc,2,hotel,239.77
201,Private room,nyc,2,hotel,239.77
219,Private room,nyc,2,hotel,239.77
172,Private room,nyc,2,hotel,239.77
189,Private room,nyc,2,hotel,239.77
203,Private room,nyc,2,hotel,239.77
279,Private room,nyc,2,hotel,239.77
199,Private room,nyc,2,hotel,239.77
179,Private room,nyc,2,hotel,239.77
244,Private room,nyc,2,hotel,239.77
175,Private room,nyc,2,hotel,239.77
269,Private room,nyc,2,hotel,239.77
211,Private room,nyc,2,hotel,239.77
284,Private room,nyc,2,hotel,239.77
375,Private room,nyc,2,hotel,239.77
365,Private room,nyc,2,hotel,239.77
216,Private room,nyc,2,hotel,239.77
251,Private room,nyc,2,hotel,239.77
259,Private room,nyc,2,hotel,239.77
347,Private room,nyc,2,hotel,239.77
138,Private room,nyc,2,hotel,239.77
273,Private room,nyc,2,hotel,239.77
284,Private room,nyc,2,hotel,239.77
195,Private room,nyc,2,hotel,239.77
219,Private room,nyc,2,hotel,239.77
299,Private room,nyc,2,hotel,239.77
304,Private room,nyc,2,hotel,239.77
385,Private room,nyc,2,hotel,239.77
350,Private room,nyc,2,hotel,239.77
305,Private room,nyc,2,hotel,239.77
795,Private room,nyc,2,hotel,239.77
230,Private room,nyc,2,hotel,239.77
269,Private room,nyc,2,hotel,239.77
269,Private room,nyc,2,hotel,239.77
279,Private room,nyc,2,hotel,239.77
214,Private room,nyc,2,hotel,239.77
409,Private room,nyc,2,hotel,239.77
322,Private room,nyc,2,hotel,239.77
179,Private room,nyc,2,hotel,239.77
144,Private room,nyc,2,hotel,239.77
110,Private room,nyc,2,hotel,239.77
159,Private room,nyc,2,hotel,239.77
170,Private room,nyc,2,hotel,239.77
143,Private room,nyc,2,hotel,239.77
172,Private room,nyc,2,hotel,239.77
175,Private room,nyc,2,hotel,239.77
244,Private room,nyc,2,hotel,239.77
203,Private room,nyc,2,hotel,239.77
125,Private room,nyc,2,hotel,239.77
179,Private room,nyc,2,hotel,239.77
225,Private room,nyc,2,hotel,239.77
192,Private room,nyc,2,hotel,239.77
278,Private room,nyc,2,hotel,239.77
125,Private room,nyc,2,hotel,239.77
155,Private room,nyc,2,hotel,239.77
143,Private room,nyc,2,hotel,239.77
152,Private room,nyc,2,hotel,239.77
233,Private room,nyc,2,hotel,239.77
159,Private room,nyc,2,hotel,239.77
208,Private room,nyc,2,hotel,239.77
143,Private room,nyc,2,hotel,239.77
122,Private room,nyc,2,hotel,239.77
216,Private room,nyc,2,hotel,239.77
