Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1,1,1,,, House, Private room, No Charge, 0%,, Flexible, within a few hours,12846271,195,124,sf,97.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 10%, 25%, Flexible, within a few hours,200281,110,125,sf,55
2, 1,0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt,, 14%, 33%, Strict, within a few hours,8520295,160,126,sf,80
2, 1,1,1, Anytime after 12PM (noon),, Apartment, Entire home/apt, No Charge, 10%, 25%, Strict, within an hour,8762967,95,127,sf,47.5
2, 0,1,1, Anytime after 2PM, 11AM, House, Private room,,,, Moderate, within an hour,13022499,115,128,sf,57.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Strict, within an hour,9774068,156,129,sf,78
1, 1 (Shared),1,1, 11AM - 11PM, 12PM (noon), Apartment, Shared room,, 3%, 5%, Moderate, within an hour,1408281,129,130,sf,129
3, 1,1,2, Anytime after 3PM, 12PM (noon), Condominium, Entire home/apt, No Charge, 25%,, Strict, within a few hours,13635551,125,131,sf,41.6666666666667
2, 1 (Private),0,2, Flexible, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within an hour,13477247,75,132,sf,37.5
3, 1,1,2, Anytime after 1PM, 12PM (noon), Apartment, Private room, $40 / night after 2 guests, 20%, 30%, Moderate, within an hour,8904937,142,133,sf,47.3333333333333
2, 1 (Shared),1,1, Anytime after 1PM, 4PM, Apartment, Entire home/apt,, 10%,, Moderate, within a few hours,13866235,190,134,sf,95
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room,, 0%, 0%, Flexible, within a few hours,10418322,185,135,sf,92.5
2, 2,2,2, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 15%,, Moderate, within an hour,10840414,250,136,sf,125
2, 1 (Shared),1,1, Anytime after 2PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,8275596,35,137,sf,17.5
2, 1 (Shared),1,1, Anytime after 3PM, 12PM (noon), House, Private room, No Charge, 10%, 15%, Moderate, within an hour,14058974,59,138,sf,29.5
2, 1,1,1, 2PM - 9PM, 11AM, House, Private room, No Charge, 0%, 6%, Strict, within an hour,12657607,100,139,sf,50
1, 1,1,1,,, Apartment, Private room,, 0%, 24%, Strict, within a few hours,2081536,185,140,sf,185
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $5 / night after the first guest, 0%, 0%, Strict, within an hour,4559621,165,141,sf,82.5
2, 1,0,1,,, Apartment, Entire home/apt, No Charge, 20%, 40%, Moderate, within an hour,11496852,69,142,sf,34.5
3, 1 (Private),1,2, Anytime after 3PM, 12PM (noon), House, Entire home/apt, No Charge, 25%, 0%, Strict, within a few hours,11534385,119,143,sf,39.6666666666667
2, 1,1,1,,, Apartment, Entire home/apt, No Charge, 15%, 0%, Flexible,,11064517,68,144,sf,34
5, 1,2,5, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $30 / night after 4 guests, 15%, 25%, Strict, within a few hours,8082364,75,145,sf,15
2, 1,1,1,,, House, Entire home/apt, No Charge, 15%, 0%, Moderate, within an hour,4816543,239,146,sf,119.5
2, 1,1,1, Anytime after 2PM, 11AM, Apartment, Private room,, 0%, 0%, Moderate, within an hour,11951491,134,147,sf,67
6, 1,2,3,,, Apartment, Entire home/apt, $20 / night after 4 guests, 10%, 10%, Flexible, within an hour,1277771,150,148,sf,25
2, 1 (Private),1,1, Anytime after 4PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,7026287,140,149,sf,70
2, 0,1,1, Anytime after 2PM, 11AM, House, Private room,,,, Moderate, within an hour,13022499,225,150,sf,112.5
2, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 10%, 20%, Moderate, within an hour,4616596,119,151,sf,59.5
2, 1.5,1,1,,, Loft, Entire home/apt, No Charge, 0%, 17%, Strict, within a few hours,2665028,89,152,sf,44.5
1, 1,1,1,,, House, Private room,, 0%, 0%, Flexible,,8438983,250,153,sf,250
4, 1,2,2, Anytime after 1PM, 11AM, Apartment, Entire home/apt, No Charge,,, Strict,,11390565,90,154,sf,22.5
2, 1,1,1, Anytime after 3PM, 11AM, Bungalow, Private room,, 0%, 0%, Moderate, within an hour,8088720,188,155,sf,94
4, 1,1,1, Anytime after 2PM, 11AM, House, Private room, $20 / night after 3 guests, 10%, 0%, Moderate, within an hour,13021568,91,156,sf,22.75
2, 1,1,2, Anytime after 3PM, 12PM (noon), Apartment, Private room,, 0%, 30%, Strict, within an hour,5039986,160,157,sf,80
1, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room,, 0%, 0%, Moderate, within an hour,9186305,245,158,sf,245
2, 1,0,1,,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,11035236,139,159,sf,69.5
2, 1,1,1,,, House, Private room, No Charge,,, Moderate, within an hour,6968158,108,160,sf,54
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,7484256,70,161,sf,35
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,11474298,65,162,sf,32.5
2, 1,1,1, Anytime after 2PM, 11AM, Apartment, Private room,, 0%, 0%, Moderate, within an hour,11951491,161,163,sf,80.5
2, 1,1,1, 3PM - 2AM (next day), 11AM, Apartment, Entire home/apt,, 5%, 10%, Moderate, within an hour,2518781,125,164,sf,62.5
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 10%, 20%, Moderate, within a few hours,5852066,300,165,sf,150
3, 1,1,2, Anytime after 1PM, 12PM (noon), Apartment, Private room, $40 / night after 2 guests, 20%, 30%, Moderate, within an hour,8904937,115,166,sf,38.3333333333333
3, 1,0,3, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 10%, 15%, Strict, within an hour,5589530,125,167,sf,41.6666666666667
3, 1 (Private),1,1, 2PM - 11PM, 10AM, House, Private room, $30 / night after 2 guests, 0%, 0%, Moderate, within an hour,6629798,150,168,sf,50
2, 1,1,1, Flexible, 12PM (noon), House, Entire home/apt, No Charge,,, Flexible, within an hour,13899585,90,169,sf,45
1, 2,1,1, 8AM - 10PM, 9PM, Apartment, Private room,, 10%, 0%, Flexible, within a few hours,3268637,80,170,sf,80
4, 1,1,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $20 / night after 2 guests, 0%, 0%, Strict, within an hour,6156195,150,171,sf,37.5
3, 1,0,1,,, Apartment, Entire home/apt, No Charge, 15%, 30%, Flexible, within an hour,10509841,155,172,sf,51.6666666666667
5, 1,0,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests, 0%, 0%, Moderate, within an hour,7478631,136,173,sf,27.2
2, 1 (Private),1,1, 2PM - 9PM, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,8697987,230,174,sf,115
2, 1,1,1, 2PM - 10PM, 11AM, House, Private room, No Charge, 0%, 5%, Strict, within an hour,12705874,94,175,sf,47
2, 1 (Private),0,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 15%, 25%, Strict, within a few hours,4607177,225,176,sf,112.5
3, 1,1,1, 3PM - 2AM (next day), 12PM (noon), Apartment, Private room, $30 / night after 2 guests, 20%,, Flexible, within an hour,12857736,159,177,sf,53
2, 1,1,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,13469139,80,178,sf,40
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room,, 0%, 10%, Strict, within an hour,7227859,160,179,sf,80
2, 1 (Shared),1,1, Anytime after 3PM, 2PM, Apartment, Private room, No Charge,,, Moderate, within an hour,13530165,180,180,sf,90
4, 1 (Private),2,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 10%, 30%, Moderate, within a day,1520938,205,181,sf,51.25
4, 1,1,1, Anytime after 2PM, 11AM, House, Private room, $20 / night after 3 guests, 10%, 0%, Moderate, within an hour,13021568,125,182,sf,31.25
2, 1 (Private),1,1, Anytime after 2PM, 11AM, House, Entire home/apt, No Charge,,, Strict, within an hour,12172311,109,183,sf,54.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,11593303,100,184,sf,50
1, 1,1,1, Anytime after 3PM,, Apartment, Shared room,,,, Strict, within an hour,13219829,150,185,sf,150
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Moderate, within a few hours,4122671,165,186,sf,82.5
2, 1,1,1, 3PM - 10PM, 11AM, Apartment, Entire home/apt,, 0%, 20%, Strict, within a few hours,9065415,78,187,sf,39
2, 1,1,2,,, Condominium, Shared room,, 0%, 0%, Strict, within an hour,1711403,200,188,sf,100
2, 1,1,1, Anytime after 11AM, 11AM, Apartment, Private room, No Charge, 10%, 15%, Strict, within an hour,5884735,119,189,sf,59.5
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 21%, 50%, Moderate, within an hour,5589500,87,190,sf,43.5
2, 1 (Private),1,1,, 11AM, House, Entire home/apt,, 12%, 0%, Strict, within an hour,678556,69,191,sf,34.5
2, 1 (Private),1,1, Anytime after 3PM, 11AM, House, Private room, $20 / night after the first guest, 0%, 0%, Moderate, within an hour,4439461,85,192,sf,42.5
2, 1,1,1, Flexible, 12PM (noon), House, Private room, No Charge,,, Flexible, within an hour,14009785,115,193,sf,57.5
1, 1 (Private),1,1, 3PM - 2AM (next day), 1PM, House, Private room,, 10%, 15%, Flexible, within an hour,7073115,169,194,sf,169
2, 1,1,1,,, House, Entire home/apt, No Charge, 15%, 0%, Moderate, within an hour,4816543,190,195,sf,95
1, 1,1,1, Anytime after 3PM, 12PM (noon), Other, Private room,, 6%, 10%, Strict, within an hour,752762,134,196,sf,134
2, 1,1,1,,, House, Private room, No Charge, 10%, 20%, Moderate, within an hour,6430646,275,197,sf,137.5
2, 1,1,1,, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,13552280,160,198,sf,80
4, 1,1,2, Flexible, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13396831,100,199,sf,25
1, 0.5,1,1,,, Apartment, Private room,,,, Flexible, within an hour,14059646,175,200,sf,175
2, 1 (Shared),1,1, Anytime after 3PM, 11AM, House, Private room,, 0%, 10%, Strict, within an hour,7329545,70,201,sf,35
3, 1,1,1,,, Apartment, Entire home/apt, $10 / night after 2 guests, 8%, 11%, Moderate, within an hour,8975105,75,202,sf,25
2, 1,1,1, Anytime after 3PM, 11AM, House, Entire home/apt, No Charge, 12%, 14%, Flexible, within a few hours,840986,85,203,sf,42.5
2, 1 (Private),1,1, Flexible, 11AM, House, Private room, No Charge, 10%, 15%, Moderate, within an hour,13735664,175,204,sf,87.5
