Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
 2, 1,1,1,,, Apartment, Private room, No Charge, 15%, 0%, Flexible, within an hour,11850717,90,166,ny,22.5
 2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge,,, Moderate, within an hour,13398837,70,167,ny,17.5
 2, 1,1,1,,, Apartment, Private room,,,, Flexible, within an hour,13725947,50,168,ny,12.5
 2, 1 (Shared),1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 0%, 0%, Flexible, within an hour,14124666,135,169,ny,33.75
 2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,13799264,119,170,ny,29.75
 2, 1 (Private),1,1,,, Apartment, Private room, No Charge, 10%, 0%, Moderate, within a few hours,13509110,50,171,ny,12.5
 6, 1 (Private),2,3, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,7461910,175,172,ny,25
 3, 1,1,1, Flexible, 12PM (noon), Townhouse, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,13491040,75,173,ny,15
 2, 1,1,1, 2PM - 11PM, 2PM, Apartment, Private room, No Charge,,, Flexible, within an hour,13800652,50,174,ny,12.5
 2, 1 (Private),0,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within a few hours,13377250,100,175,ny,25
 2, 1,0,1, Anytime after 2PM, 11AM, Apartment, Entire home/apt, No Charge, 15%, 30%, Strict, within an hour,593292,34,176,ny,8.5
 2, 1,0,1, Anytime after 10AM, 11AM, Loft, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,13846131,59,177,ny,14.75
 2, 1 (Private),1,1, Anytime after 12PM (noon), 12PM (noon), House, Private room, No Charge, 10%, 0%, Strict, within an hour,8704710,114,178,ny,28.5
 2, 1,1,1, Flexible,, Apartment, Entire home/apt, No Charge,,, Strict, within a few hours,7287390,116,179,ny,29
 1, 1,1,2, 12PM (noon) - 9PM, 2PM, Apartment, Private room,, 15%,, Strict, within an hour,12973878,45,180,ny,45
 1, 1 (Private),1,1, Anytime after 3PM, 1AM, Apartment, Private room,,,, Flexible, within an hour,13800824,50,181,ny,50
 2, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,7386558,82,182,ny,20.5
 2, 1,2,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,13814227,129,183,ny,32.25
 3, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,13532136,70,184,ny,14
 2, 1 (Private),0,1,, 11AM, Apartment, Entire home/apt, No Charge, 0%, 5%, Strict, within a few hours,12363795,120,185,ny,30
 2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Moderate, within an hour,13641859,14,186,ny,3.5
 2, 1,1,1, Flexible,, Apartment, Private room, No Charge,,, Moderate, within an hour,13763226,225,187,ny,56.25
 2, 1,1,2, Anytime after 5PM, 11AM, Apartment, Shared room, No Charge, 0%, 0%, Moderate, within an hour,4251667,150,188,ny,37.5
 1, 1,1,1, Anytime after 3PM,, House, Private room,,,, Flexible, within a few hours,14091525,80,189,ny,80
 2, 1 (Private),0,1, 8AM - 12AM (midnight), 11AM, Loft, Entire home/apt,, 25%, 30%, Flexible, within an hour,12232639,140,190,ny,35
 1, 3 (Shared),1,1,,, Apartment, Private room,,,, Flexible, within an hour,13910864,220,191,ny,220
 3, 1 (Private),1,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, $20 / night after 2 guests, 5%, 10%, Moderate, within an hour,13545396,60,192,ny,12
 1, 3,1,1,,, Cabin, Private room,,,, Flexible, within an hour,12111921,120,193,ny,120
 2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,8680473,225,194,ny,56.25
 2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge, 5%, 10%, Strict, within an hour,4758046,105,195,ny,26.25
