Room.Type,City,Bed(s),Property.Form,Price,Avg
Private room,New York City,1,hotel,249,195.04
Private room,New York City,1,hotel,161,195.04
Private room,New York City,1,hotel,280,195.04
Private room,New York City,1,hotel,189,195.04
Private room,New York City,1,hotel,180,195.04
Private room,New York City,1,hotel,203,195.04
Private room,New York City,1,hotel,189,195.04
Private room,New York City,1,hotel,165,195.04
Private room,New York City,1,hotel,169,195.04
Private room,New York City,1,hotel,135,195.04
Private room,New York City,1,hotel,159,195.04
Private room,New York City,1,hotel,143,195.04
Private room,New York City,1,hotel,309,195.04
Private room,New York City,1,hotel,152,195.04
Private room,New York City,1,hotel,194,195.04
Private room,New York City,1,hotel,134,195.04
Private room,New York City,1,hotel,135,195.04
Private room,New York City,1,hotel,189,195.04
Private room,New York City,1,hotel,127,195.04
Private room,New York City,1,hotel,149,195.04
Private room,New York City,1,hotel,305,195.04
Private room,New York City,1,hotel,200,195.04
Private room,New York City,1,hotel,255,195.04
Private room,New York City,1,hotel,162,195.04
Private room,New York City,1,hotel,156,195.04
Private room,New York City,1,hotel,199,195.04
Private room,New York City,1,hotel,172,195.04
Private room,New York City,1,hotel,214,195.04
Private room,New York City,1,hotel,203,195.04
Private room,New York City,1,hotel,225,195.04
Private room,New York City,1,hotel,110,195.04
Private room,New York City,1,hotel,197,195.04
Private room,New York City,1,hotel,187,195.04
Private room,New York City,1,hotel,278,195.04
Private room,New York City,1,hotel,143,195.04
Private room,New York City,1,hotel,195,195.04
Private room,New York City,1,hotel,159,195.04
Private room,New York City,1,hotel,199,195.04
Private room,New York City,1,hotel,249,195.04
Private room,New York City,1,hotel,179,195.04
Private room,New York City,1,hotel,122,195.04
Private room,New York City,1,hotel,234,195.04
Private room,New York City,1,hotel,116,195.04
Private room,New York City,1,hotel,169,195.04
Private room,New York City,1,hotel,165,195.04
Private room,New York City,1,hotel,136,195.04
Private room,New York City,1,hotel,108,195.04
Private room,New York City,1,hotel,98,195.04
Private room,New York City,1,hotel,146,195.04
Private room,New York City,1,hotel,89,195.04
Private room,New York City,1,hotel,193,195.04
Private room,New York City,1,hotel,195,195.04
Private room,New York City,1,hotel,79,195.04
Private room,New York City,1,hotel,89,195.04
Private room,New York City,1,hotel,215,195.04
Private room,New York City,1,hotel,165,195.04
Private room,New York City,1,hotel,240,195.04
Private room,New York City,1,hotel,135,195.04
Private room,New York City,1,hotel,170,195.04
Private room,New York City,1,hotel,125,195.04
Private room,New York City,1,hotel,179,195.04
Private room,New York City,1,hotel,269,195.04
Private room,New York City,1,hotel,115,195.04
Private room,New York City,1,hotel,223,195.04
Private room,New York City,2,hotel,349,239.77
Private room,New York City,2,hotel,400,239.77
Private room,New York City,2,hotel,676,239.77
Private room,New York City,2,hotel,299,239.77
Private room,New York City,2,hotel,229,239.77
Private room,New York City,2,hotel,125,239.77
Private room,New York City,2,hotel,179,239.77
Private room,New York City,2,hotel,255,239.77
Private room,New York City,2,hotel,450,239.77
Private room,New York City,2,hotel,129,239.77
Private room,New York City,2,hotel,207,239.77
Private room,New York City,2,hotel,169,239.77
Private room,New York City,2,hotel,329,239.77
Private room,New York City,2,hotel,135,239.77
Private room,New York City,2,hotel,745,239.77
Private room,New York City,2,hotel,135,239.77
Private room,New York City,2,hotel,134,239.77
Private room,New York City,2,hotel,126,239.77
Private room,New York City,2,hotel,215,239.77
Private room,New York City,2,hotel,144,239.77
Private room,New York City,2,hotel,305,239.77
Private room,New York City,2,hotel,135,239.77
Private room,New York City,2,hotel,173,239.77
Private room,New York City,2,hotel,167,239.77
Private room,New York City,2,hotel,132,239.77
Private room,New York City,2,hotel,189,239.77
Private room,New York City,2,hotel,199,239.77
Private room,New York City,2,hotel,191,239.77
Private room,New York City,2,hotel,179,239.77
Private room,New York City,2,hotel,269,239.77
Private room,New York City,2,hotel,333,239.77
Private room,New York City,2,hotel,188,239.77
Private room,New York City,2,hotel,249,239.77
Private room,New York City,2,hotel,269,239.77
